Smiles,CYP1A2,CYP2A6,CYP2B6,CYP2C8,CYP2C9,CYP2C19,CYP2D6,CYP2E1,CYP3A4,St_smi,stratify_col
Clc1ccc2nsnc2c1NC1=NCCN1,1.0,,,,,,,,,Clc1ccc2nsnc2c1NC1=NCCN1,1.0
O=C1C(C(O)=N)=C(O)[C@@H](N(C)C)[C@H]2[C@]1(O)C(O)=C1C(=O)c3c(O)cccc3[C@](O)(C)[C@H]1C2,,,,,,,,,1.0,CN(C)C1C(O)=C(C(=N)O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,1.0
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,2.0
CC(C)(C)c1ccc(C(=O)CCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CC(C)(C)c1ccc(C(=O)CCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,1.0
S(=O)(=O)(Nc1cc2c(cc(-c3c(OC)c(C(C)(C)C)cc(N4C(=O)N=C(O)C=C4)c3)cc2)cc1)C,,,,,,,,,1.0,COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(O)nc2=O)cc1C(C)(C)C,1.0
[O:1]=[C:2]([NH:3][C:4]1=[N:5][c:6]2[c:7]([O:8][CH3:9])[c:10]([O:11][CH2:12][CH2:13][CH2:14][N:15]3[CH2:16][CH2:17][O:18][CH2:19][CH2:20]3)[cH:21][cH:22][c:23]2[C:24]4=[N:25][CH2:26][CH2:27][N:28]14)[c:29]5[cH:30][n:31][c:32]([n:33][cH:34]5)[NH2:35],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21,1.0
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,6.0
Oc1ccc2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)c2c(c(C3c4ccc(O)cc4OC(c4ccc(O)c(O)c4)C3O)c1O)OC(c1ccc(O)c(O)c1)C(O)C2,,,,,,,,,0.0,Oc1ccc2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)c2c(c(C3c4ccc(O)cc4OC(c4ccc(O)c(O)c4)C3O)c1O)OC(c1ccc(O)c(O)c1)C(O)C2,0.0
N(N)CCc1ccccc1,,,,,,1.0,1.0,,1.0,NNCCc1ccccc1,3.0
O=C(OC)[C@]1(O)N2c3c(cccc3)C3C2=C2[C@](CC)(C1)CCCN2CC3,1.0,,,,,,,,1.0,CCC12CCCN3CCC4C(=C31)N(c1ccccc14)C(O)(C(=O)OC)C2,2.0
O=C(OC(C)C)C1=C(C)NC(C)=C(C(=O)OC)C1c1c2nonc2ccc1,,,,,,,,,1.0,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,1.0
CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,1.0
