Smiles,CYP1A2,CYP2A6,CYP2B6,CYP2C8,CYP2C9,CYP2C19,CYP2D6,CYP2E1,CYP3A4,St_smi,stratify_col
O(CC1(C)Oc2c(C)c(C)c(O)c(C)c2CC1)c1ccc(CC2C(O)=NC(=O)S2)cc1,,,,,1.0,1.0,1.0,,1.0,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)N=C3O)cc1)O2,4.0
c1ccc2c(c1)cc1ccc3cccc4c5ccccc5c2c1c34,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,c1ccc2c(c1)cc1ccc3cccc4c5ccccc5c2c1c34,8.0
O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,4.0
CN(C)P(=O)(N(C)C)N(C)C,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CN(C)P(=O)(N(C)C)N(C)C,1.0
[Cl:1][c:2]1[cH:3][cH:4][c:5]([cH:6][c:7]1[CH2:8][c:9]2[cH:10][cH:11][c:12]([O:13][CH2:14][CH2:15][O:16][CH:17]3[CH2:18][CH2:19]3)[cH:20][cH:21]2)[CH:22]4[O:23][CH:24]([CH2:25][OH:26])[CH:27]([OH:28])[CH:29]([OH:30])[CH:31]4[OH:32],0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,OCC1OC(c2ccc(Cl)c(Cc3ccc(OCCOC4CC4)cc3)c2)C(O)C(O)C1O,3.0
CC1CC[C@@]2(C(=O)OC3OC(CO)C(O)C(O)C3O)CC[C@@]3(C)C(=CCC4[C@@]5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6O)[C@](C)(CO)C5CC[C@@]43C)C2C1C,,,,,,,,,0.0,CC1CCC2(C(=O)OC3OC(CO)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(CO)C5CCC43C)C2C1C,0.0
O=C1N(N(c2ccccc2)C(=O)C1CCCC)c1ccccc1,,,,,1.0,,,,,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,1.0
CC1CC[C@]2(OC1)OC1CC3C4CCC5CC(OC6OC(CO)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(O)C[C@]5(C)C4CC[C@]3(C)C1C2C,,,,,,,,,0.0,CC1CCC2(OC1)OC1CC3C4CCC5CC(OC6OC(CO)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(O)CC5(C)C4CCC3(C)C1C2C,0.0
Oc1cc(O)cc(/C=C/c2ccc(O)cc2)c1,1.0,,,,,,,,,Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,1.0
Oc1ncnc2[nH]cnc12,1.0,,,,,,,,,Oc1ncnc2[nH]cnc12,1.0
OC(=NCC[C@H]1c2c3c(OCC3)ccc2CC1)CC,1.0,,,,1.0,1.0,1.0,,1.0,CCC(O)=NCCC1CCc2ccc3c(c21)CCO3,5.0
[O:1]=[C:2]([NH:3][c:4]1[n:5][cH:6][cH:7][cH:8][cH:9]1)[C:10]2=[C:11]([OH:12])[c:13]3[s:14][cH:15][cH:16][c:17]3[S:18](=[O:19])(=[O:20])[N:21]2[CH3:22],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,1.0
O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,2.0
O=C1C(CC)(C)CC(O)=N1,,,,,,,,,1.0,CCC1(C)CC(O)=NC1=O,1.0
CN1CCC[C@@H]1C[C@@H]1CNc2ccc(CCS(=O)(=O)c3ccccc3)cc21,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,CN1CCCC1CC1CNc2ccc(CCS(=O)(=O)c3ccccc3)cc21,6.0
Clc1ccc(-c2ccc(Cl)cc2)cc1,1.0,,,,,,,,,Clc1ccc(-c2ccc(Cl)cc2)cc1,1.0
Clc1ccc(NC=2/C(=N/C(C)C)/C=C3N(c4ccc(Cl)cc4)c4c(N=C3C=2)cccc4)cc1,,,,,,,,,1.0,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,1.0
ClC(Cl)=CC1C(C)(C)C1C(=O)OCc1cc(Oc2ccccc2)ccc1,,,,,,,,,1.0,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,1.0
O=C(OC1C(C)C(O)C(C)C(O)C(C)C=CC=C(C)C(=O)Nc2c(O)c3c(O)c(C)c4OC(C)(C(=O)c4c3c(O)c2)OC=CC(OC)C1C)C,,,,,,,,,1.0,COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,1.0
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,1.0
O=C1OCC2OC(=O)c3cc(O)c(O)c(O)c3-c3c(O)c(O)c(O)c4c3C(=O)OC(C2OC(=O)c2cc(O)c(O)c(O)c2-c2c1cc(O)c(O)c2O)C1OC(=O)C2C4=C(O)C(=O)[C@]23Oc2c(O)c4oc(=O)c5cc(O)c(O)c6oc(=O)c(c2C13)c4c65,,,,,,,,,0.0,O=C1OCC2OC(=O)c3cc(O)c(O)c(O)c3-c3c(O)c(O)c(O)c4c3C(=O)OC(C2OC(=O)c2cc(O)c(O)c(O)c2-c2c1cc(O)c(O)c2O)C1OC(=O)C2C4=C(O)C(=O)C23Oc2c(O)c4oc(=O)c5cc(O)c(O)c6oc(=O)c(c2C13)c4c65,0.0
Clc1c(/C(=N/OCc2c(Cl)cc(Cl)cc2)/Cn2cncc2)ccc(Cl)c1,,,,,,1.0,1.0,,,Clc1ccc(CON=C(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,2.0
O(CCc1ccc(OCC(O)CNC(C)C)cc1)CC1CC1,1.0,,,,,,,,,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,1.0
[O:1]=[C:2]([NH:3][c:4]1[cH:5][cH:6][c:7]([Cl:8])[c:9]([cH:10]1)-[c:11]2[n:12][cH:13][cH:14][cH:15][cH:16]2)[c:17]3[cH:18][cH:19][c:20]([cH:21][c:22]3[Cl:23])[S:24](=[O:25])(=[O:26])[CH3:27],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,1.0
CC(C)CCCC(C)CCCC(C)CCCC(C)C(=O)NCC(=O)O,,,,,,,,,0.0,CC(C)CCCC(C)CCCC(C)CCCC(C)C(=O)NCC(=O)O,0.0
NC(Cc1cnc[nH]1)C(=O)NC(Cc1ccccc1)C(=O)O,,,,,,,,,0.0,NC(Cc1cnc[nH]1)C(=O)NC(Cc1ccccc1)C(=O)O,0.0
Nc1nc(OCc2ccccc2)c2[nH]cnc2n1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Nc1nc(OCc2ccccc2)c2[nH]cnc2n1,2.0
CN1C(=O)CC[C@H]1c1cccnc1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CN1C(=O)CCC1c1cccnc1,1.0
CN(C)N/N=C1\N=CN=C1C(N)=O,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,CN(C)NN=C1N=CN=C1C(N)=O,2.0
O=C(C=C)N1C[C@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc23)CCC1,,,,,,,,,1.0,C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,1.0
N=C1Nc2c(-c3n(CC(C)C)cnc13)cccc2,1.0,,,,,,,,1.0,CC(C)Cn1cnc2c(=N)[nH]c3ccccc3c21,2.0
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@H]1CC=C(C=O)C[C@H]21,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C=O)CC21,4.0
Clc1ccccc1Cl,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Clc1ccccc1Cl,3.0
CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,3.0
[O:1]=[C:2]([OH:3])[CH:4]([c:5]1[cH:6][cH:7][c:8]([cH:9][cH:10]1)[CH2:11][CH:12]([CH3:13])[CH2:14][OH:15])[CH3:16],0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,CC(CO)Cc1ccc(C(C)C(=O)O)cc1,1.0
Clc1c(Cl)ccc2N=C3N=C(O)CN3Cc12,1.0,,,,,,,,,OC1=NC2=Nc3ccc(Cl)c(Cl)c3CN2C1,1.0
OC(=NC[C@H]1[C@H](c2c3c(OCC3)ccc2)C1)CC,,,,,,,,,1.0,CCC(O)=NCC1CC1c1cccc2c1CCO2,1.0
Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,2.0
CC1=CC(O)[C@@]2(C)C(O)C[C@@]3(C)C(CCC4[C@]5(C)CCC(O)C(C)(C)C5CC[C@@]43C)C2C1C,,,,,,,,,0.0,CC1=CC(O)C2(C)C(O)CC3(C)C(CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1C,0.0
C=C1CCC2CC=C(C#CC#CCC3OC3CCCCCCC)O[C@@]2(C)CCC2C1CC2(C)C,,,,,,,,,0.0,C=C1CCC2CC=C(C#CC#CCC3OC3CCCCCCC)OC2(C)CCC2C1CC2(C)C,0.0
C[C@]12CC(O)C3C(CCC4=CC(=O)CC[C@@]43C)C1CCC2C(=O)CC(=O)O,,,,,,,,,0.0,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CC(=O)O)CCC12,0.0
CC[C@]1(C)CC(=O)NC1=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,CCC1(C)CC(=O)NC1=O,2.0
COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(C)CCC314,8.0
O=C(c1cc2[nH]c(N=C(OC)O)nc2cc1)c1ccccc1,,,,,,,,,1.0,COC(O)=Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1,1.0
O=C1N(Cc2nc(C)c3c(n2)cccc3)C(=O)c2n(CC#CC)c(N3C[C@H](N)CCC3)nc2N1C,,,,,,,,,1.0,CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,1.0
[F:1][c:2]1[cH:3][cH:4][c:5]([cH:6][c:7]1[F:8])[CH:9]2[CH2:10][CH:11]2[NH:12][c:13]3[n:14][c:15]([n:16][c:17]4[c:18]3[n:19][n:20][n:21]4[CH:22]5[CH2:23][CH:24]([O:25][CH2:26][CH2:27][OH:28])[CH:29]([OH:30])[CH:31]5[OH:32])[S:33][CH2:34][CH2:35][CH3:36],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CCCSc1nc(NC2CC2c2ccc(F)c(F)c2)c2nnn(C3CC(OCCO)C(O)C3O)c2n1,1.0
S(=O)(=O)(CC(O)(C(O)=Nc1cc(C(F)(F)F)c(C#N)cc1)C)c1ccc(F)cc1,,,,,,,,,1.0,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(O)=Nc1ccc(C#N)c(C(F)(F)F)c1,1.0
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1,1.0
Nc1ncnc2c1ncn2CCOC[P@]1(=O)OCC[C@@H](c2cccc(Cl)c2)O1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Nc1ncnc2c1ncn2CCOCP1(=O)OCCC(c2cccc(Cl)c2)O1,1.0
S(=O)(=O)(N(C)C)c1cc2N(CCCN3CCC(CCO)CC3)c3c(Sc2cc1)cccc3,,,,,,1.0,1.0,,1.0,CN(C)S(=O)(=O)c1ccc2c(c1)N(CCCN1CCC(CCO)CC1)c1ccccc1S2,3.0
O=C(OC(OC(=O)c1c2n(Cc3ccc(-c4c(-c5n[nH]nn5)cccc4)cc3)c(OCC)nc2ccc1)C)OC1CCCCC1,,,,,1.0,,,,,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,1.0
O(CC1OC(O)=NC1)c1cc(C)cc(C)c1,1.0,,,,,,,,1.0,Cc1cc(C)cc(OCC2CN=C(O)O2)c1,2.0
O=C1[C@H](Cc2ccccc2)N2C(=O)[C@@](N=C(O)[C@@H]3C=C4[C@H](N(C)C3)Cc3c5c([nH]c3)cccc45)(C)O[C@@]2(O)[C@H]2N1CCC2,1.0,,,,,,,,1.0,CN1CC(C(O)=NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)CC21,2.0
[O:1]=[C:2]([NH:3][CH2:4][c:5]1[c:6](=[O:7])[nH:8][c:9]([cH:10][c:11]1[CH3:12])[CH3:13])[c:14]2[cH:15][c:16]([cH:17][c:18]([c:19]2[CH3:20])[N:21]([CH2:22][CH3:23])[CH:24]3[CH2:25][CH2:26][O:27][CH2:28][CH2:29]3)-[c:30]4[cH:31][cH:32][c:33]([cH:34][cH:35]4)[CH2:36][N:37]5[CH2:38][CH2:39][O:40][CH2:41][CH2:42]5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,1.0
Cc1cc(=O)n(-c2ccccc2)n1C,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,Cc1cc(=O)n(-c2ccccc2)n1C,8.0
O=C(O)COc1c2c(ccc1)C[C@@H]1[C@@H](CC[C@@H](O)CCCCC)[C@H](O)C[C@@H]1C2,,,,,1.0,,,,,CCCCCC(O)CCC1C(O)CC2Cc3c(cccc3OCC(=O)O)CC21,1.0
O(C)c1cc2c(CCN=C(O)C)c[nH]c2cc1,1.0,,,,1.0,1.0,1.0,,,COc1ccc2[nH]cc(CCN=C(C)O)c2c1,4.0
CCc1cccc2c3c([nH]c12)[C@@](CC)(CC(=O)O)OCC3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,1.0
C/C(=C/C=C\C(C)=C\C=C/C=C(C)/C=C/C=C(/C)C1C=C2C(C)(C)CCC[C@]2(C)O1)C1C=C2C(C)(C)CCC[C@@]2(C)O1,,,,,,,,,0.0,CC(C=CC=C(C)C1C=C2C(C)(C)CCCC2(C)O1)=CC=CC=C(C)C=CC=C(C)C1C=C2C(C)(C)CCCC2(C)O1,0.0
CC(=O)OC1CC(C)CN[C@]12OC1CC3C4CCC5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OCC(O)C(O)C8O)C7OC7OC(CO)C(O)C(O)C7O)C(O)C6O)CC[C@]5(C)C4CC[C@]3(C)C1C2C,,,,,,,,,0.0,CC(=O)OC1CC(C)CNC12OC1CC3C4CCC5CC(OC6OC(CO)C(OC7OC(CO)C(O)C(OC8OCC(O)C(O)C8O)C7OC7OC(CO)C(O)C(O)C7O)C(O)C6O)CCC5(C)C4CCC3(C)C1C2C,0.0
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,5.0
S(=O)(=O)(N=C(O)[C@]12N=C(O)[C@H]3[C@H](C(=O)N(C)CCCC/C=C\[C@@H]1C2)C[C@H](Oc1c2c(c(C)c(OC)cc2)nc(-c2scc(C(C)C)n2)c1)C3)C1CC1,,,,,,,,,1.0,COc1ccc2c(OC3CC4C(=O)N(C)CCCCC=CC5CC5(C(O)=NS(=O)(=O)C5CC5)N=C(O)C4C3)cc(-c3nc(C(C)C)cs3)nc2c1C,1.0
O=C(O[C@@H]1[C@]2(C)[C@H]([C@H]3[C@@H]([C@]4(C)C(=CC(=O)CC4)CC3)CC2)CC1)CCCCCC,,,,,1.0,1.0,1.0,,1.0,CCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,4.0
CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1,4.0
O(CCc1ncc(CC)cc1)c1ccc(CC2C(O)=NC(=O)S2)cc1,,,,,1.0,,,,1.0,CCc1ccc(CCOc2ccc(CC3SC(=O)N=C3O)cc2)nc1,2.0
[CH3:1][N:2]1[CH2:3][CH2:4][N:5]([CH2:6][CH2:7][O:8][c:9]2[cH:10][c:11]([O:12][CH:13]3[CH2:14][CH2:15][O:16][CH2:17][CH2:18]3)[c:19]3[c:20]([NH:21][c:22]4[c:23]([Cl:24])[cH:25][cH:26][c:27]5[c:28]4[O:29][CH2:30][O:31]5)[n:32][cH:33][n:34][c:35]3[cH:36]2)[CH2:37][CH2:38]1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1,1.0
O=C(O[C@@H]1[C@@H]2[C@@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@@H](C)C=CC2=C[C@@H](O)C1)[C@H](CC)C,,,,,1.0,,,,1.0,CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,2.0
CCN(CC)C(=O)SC,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,CCN(CC)C(=O)SC,6.0
CC1C2C3CCC4[C@]5(C)CCC(=O)C(C)(C)C5CC[C@]4(C)[C@]3(C)CC[C@@]2(C)CC[C@]1(C)O,,,,,,,,,0.0,CC1C2C3CCC4C5(C)CCC(=O)C(C)(C)C5CCC4(C)C3(C)CCC2(C)CCC1(C)O,0.0
[Cl:1][c:2]1[cH:3][cH:4][cH:5][c:6]([Cl:7])[c:8]1[NH:9][C:10]2=[N:11][CH2:12][CH2:13][NH:14]2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Clc1cccc(Cl)c1NC1=NCCN1,3.0
OC(=Nc1c(C)cccc1C)CN(CC)CC,1.0,,,,1.0,,,,1.0,CCN(CC)CC(O)=Nc1c(C)cccc1C,3.0
CCC(=O)O[C@@H]1CC(=O)O[C@H](C)C/C=C/C=C/[C@H](OC(C)=O)[C@H](C)C[C@H](CC=O)[C@H](O[C@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(OC(C)=O)[C@@H](OC(=O)CC)[C@@H](C)O3)[C@@H](N(C)C)[C@H]2O)[C@H]1OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CCC(=O)OC1CC(=O)OC(C)CC=CC=CC(OC(C)=O)C(C)CC(CC=O)C(OC2OC(C)C(OC3CC(C)(OC(C)=O)C(OC(=O)CC)C(C)O3)C(N(C)C)C2O)C1OC,1.0
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1.0
OC(=N)c1c(O)ccc(C(O)CNC(CCc2ccccc2)C)c1,,,,,,1.0,1.0,,,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(=N)O)c1,2.0
C=C(C)C1NC(=O)C(NC)C(O)c2cc(Cl)c(O)c(c2)O[C@@](C)(CC)C(C(=O)N2CC=CC2C(=O)N/C(C(=O)N/C(=C/C(=O)O)C(=O)O)=C(\C)CC)NC1=O,,,,,,,,,0.0,C=C(C)C1NC(=O)C(NC)C(O)c2cc(Cl)c(O)c(c2)OC(C)(CC)C(C(=O)N2CC=CC2C(=O)NC(C(=O)NC(=CC(=O)O)C(=O)O)=C(C)CC)NC1=O,0.0
Cc1ccc(C(=O)[C@H](C)CN2CCCCC2)cc1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Cc1ccc(C(=O)C(C)CN2CCCCC2)cc1,4.0
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)C(C(=O)O)C(C)C,1.0
CN[C@H](C)Cc1ccc(OC)cc1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,CNC(C)Cc1ccc(OC)cc1,1.0
CCCCCCCCCCCCCC(=O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,CCCCCCCCCCCCCC(=O)O,1.0
O=C1Nc2c(O)cc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,O=C1Nc2c(O)cc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1,5.0
CN(C)C=O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,CN(C)C=O,1.0
CC[C@@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC)c(OC)cc21,2.0
CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1,2.0
S(SC(=S)N(CC)CC)C(=S)N(CC)CC,1.0,,,,,,,,1.0,CCN(CC)C(=S)SSC(=S)N(CC)CC,2.0
OC(=N)c1oc2c(c1)cc(N1CCN(CCCCc3c4c([nH]c3)ccc(C#N)c4)CC1)cc2,,,,,,,,,1.0,N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ccc5oc(C(=N)O)cc5c4)CC3)c2c1,1.0
O=C([C@@H](N=C(OC)O)C(C)C)N1[C@H](c2[nH]c(-c3ccc(-c4ccc(-c5[nH]c([C@H]6N(C(=O)[C@@H](N=C(OC)O)C(C)C)CCC6)nc5)cc4)cc3)cn2)CCC1,,,,,,,,,1.0,COC(O)=NC(C(=O)N1CCCC1c1ncc(-c2ccc(-c3ccc(-c4cnc(C5CCCN5C(=O)C(N=C(O)OC)C(C)C)[nH]4)cc3)cc2)[nH]1)C(C)C,1.0
ClC(Cl)C(F)(F)OC,1.0,,,,1.0,,,,1.0,COC(F)(F)C(Cl)Cl,3.0
[cH:1]1[cH:2][cH:3][c:4]([CH:7]([O:8][CH2:9][CH2:10][NH:11][CH3:12])[c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[cH:5][cH:6]1,1.0,,,,1.0,1.0,1.0,,,CNCCOC(c1ccccc1)c1ccccc1,4.0
CN(C)CC/C=C1/c2ccccc2COc2ccc(CC(=O)O)cc21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,CN(C)CCC=C1c2ccccc2COc2ccc(CC(=O)O)cc21,1.0
CCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(OC2OC(CO)C(O)C(O[C@@]3(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(CO)O[C@@]4(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O4)O3)C2O)C(O)C1O)NC(=O)CCCCCCCCCCCCC,,,,,,,,,0.0,CCCCCCCCCCCCCCCC(O)C(COC1OC(CO)C(OC2OC(CO)C(O)C(OC3(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(CO)OC4(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O4)O3)C2O)C(O)C1O)NC(=O)CCCCCCCCCCCCC,0.0
S(=O)(=O)(N=C(O)CC)c1ccc(-c2c(C)onc2-c2ccccc2)cc1,,,,,1.0,,,,1.0,CCC(O)=NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2C)cc1,2.0
O=C(C)[C@]1(O)[C@]2(C)[C@H]([C@H]3[C@@H]([C@@H]4C(C(C)=C3)=CC(=O)CC4)CC2)CC1,,,,,,,,,1.0,CC(=O)C1(O)CCC2C3C=C(C)C4=CC(=O)CCC4C3CCC21C,1.0
OCc1cc([C@H](O)CNCCCCCCOCCCCc2ccccc2)ccc1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,1.0
O=C1N(C[C@H]2[C@H](CN3CCN(c4nsc5c4cccc5)CC3)CCCC2)C(=O)[C@@H]2[C@H]1[C@@H]1C[C@H]2CC1,,,,,,,,,1.0,O=C1C2C3CCC(C3)C2C(=O)N1CC1CCCCC1CN1CCN(c2nsc3ccccc23)CC1,1.0
Clc1ccc(C(=O)c2n(C)c(CC(=O)O)cc2C)cc1,,,,,,,,,1.0,Cc1cc(CC(=O)O)n(C)c1C(=O)c1ccc(Cl)cc1,1.0
CCCCCOc1ccc2nc3ccc(=O)cc-3oc2c1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,CCCCCOc1ccc2nc3ccc(=O)cc-3oc2c1,4.0
CCCCCCCCCCCCCCCC(=O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,CCCCCCCCCCCCCCCC(=O)O,1.0
Cc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,Cc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,3.0
