Smiles,atom_target
[O:1]=[C:2]1[NH:3][C:4]2=[CH:5][C:6]([OH:7])=[CH:8][CH:9]=[C:10]2[N:11]1[CH2:12][CH2:13][CH2:14][N:15]3[CH2:16][CH2:17][CH:18]([N:19]4[C:20](=[O:21])[NH:22][C:23]5=[CH:24][C:25]([Cl:26])=[CH:27][CH:28]=[C:29]45)[CH2:30][CH2:31]3,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([O:3][CH3:4])[C:5]=1[C:6](=[N:7][C:8](=[C:9]([C:10](=[O:11])[O:12][CH2:13][CH3:14])[C:15]1[C:16]2=[CH:17][CH:18]=[CH:19][CH:20]=[C:21]2[Cl:22])[CH2:23][O:24][CH2:25][CH2:26][OH:27])[CH3:28],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
[O:1]=[C:2]([CH:3]=[CH:4][C:5]1=[CH:6][CH:7]=[CH:8][C:9](=[CH:10]1)[S:11](=[O:12])(=[O:13])[NH:14][C:15]2=[CH:16][CH:17]=[CH:18][CH:19]=[CH:20]2)[NH:21][OH:22],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
[O:1]=[C:2]1[N:3]([C:4]2=[CH:5][CH:6]=[C:7]([F:8])[CH:9]=[CH:10]2)[CH:11]([C:12]3=[CH:13][CH:14]=[C:15]([OH:16])[CH:17]=[CH:18]3)[CH:19]1[CH2:20][CH2:21][CH:22]([OH:23])[C:24]4=[CH:25][CH:26]=[C:27]([F:28])[CH:29]=[CH:30]4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]1[C:3]([OH:4])=[C:5]([O:6][C:7]2=[CH:8][CH:9]=[C:10]([OH:11])[CH:12]=[C:13]12)[C:14]3=[CH:15][CH:16]=[C:17]([OH:18])[CH:19]=[CH:20]3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
[O:1]=[C:2]1[C:3]2=[CH:4][CH:5]=[CH:6][C:7]([NH2:8])=[C:9]2[C:10](=[O:11])[N:12]1[CH:13]([C:14]3=[CH:15][CH:16]=[C:17]([OH:18])[C:19]([O:20][CH2:21][CH3:22])=[CH:23]3)[CH2:24][S:25](=[O:26])(=[O:27])[CH3:28],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[CH:1]#[C:2][C:3]1=[CH:4][CH:5]=[CH:6][C:7](=[CH:8]1)[NH:9][C:10]2=[N:11][CH:12]=[N:13][C:14]3=[CH:15][C:16]([O:17][CH2:18][CH2:19][O:20][CH3:37])=[C:21]([O:22][CH2:38][CH2:39][O:40][CH3:41])[CH:23]=[C:24]23,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
[N:1]#[C:2][C:3]1=[CH:4][C:5](=[CH:6][CH:7]=[C:8]1[O:9][CH2:10][CH:11]([CH3:12])[CH3:13])[C:14]2=[N:15][C:16](=[C:17]([S:18]2)[C:19](=[O:20])[OH:21])[CH3:22],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
[F:1][C:2]([F:3])([F:4])[C:5]1=[CH:6][C:7](=[CH:8][CH:9]=[C:10]1[OH:11])[CH2:12][CH2:13][CH2:14][NH:15][CH:16]([C:17]2=[CH:18][CH:19]=[CH:20][C:21]3=[CH:22][C:23]([OH:24])=[CH:25][CH:26]=[C:27]23)[CH3:28],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0]"
[O:1]=[C:2]([NH:3][C:4]=1[N:5]=[CH:6][C:7]([Cl:8])=[CH:9][CH:10]1)[C:11](=[O:12])[NH:13][CH:14]2[CH2:15][CH2:16][CH:17]([C:18](=[O:19])[N:20]([CH3:21])[CH3:22])[CH2:23][C:24]2([NH:25][C:26](=[O:27])[C:28]3=[N:29][C:30]4=[C:31]([S:32]3)[CH2:33][N:34]([CH3:35])[CH2:36][CH2:37]4)[CH3:38],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[CH2:4][C:5]1=[CH:6][CH:7]=[CH:8][CH:9]=[C:10]1[NH:11][C:12]2=[C:13]([Cl:14])[CH:15]=[CH:16][CH:17]=[C:18]2[Cl:19],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[CH:4]1[N:5]([C:6](=[O:7])[CH2:8][P:9](=[O:10])([OH:11])[CH2:12][CH2:13][CH2:14][CH2:15][C:16]2=[CH:17][CH:18]=[CH:19][CH:20]=[CH:21]2)[CH2:22][CH:23]([CH2:24]1)[CH:25]3[CH2:26][CH2:27][CH2:28][CH2:29][CH2:30]3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[CH2:4][C:5]1([O:6][CH2:7][CH2:8][C:9]=2[C:10]3=[CH:11][C:12]([OH:13])=[CH:14][C:15](=[C:16]3[NH:17][C:18]12)[CH2:19][CH3:20])[CH2:21][CH3:22],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[S:2](=[O:3])([C:4]1=[CH:5][CH:6]=[C:7]([OH:8])[CH:9]=[CH:10]1)[C:11]2=[CH:12][CH:13]=[C:14]([OH:15])[CH:16]=[CH:17]2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
[F:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:6]=[CH:7]1)[C:8]=2[S:9][C:10](=[CH:11][CH:12]2)[CH2:13][C:14]3=[CH:15][C:16](=[CH:17][CH:18]=[C:19]3[CH3:20])[CH:21]4[O:22][CH:23]([CH2:24][OH:25])[CH:26]([OH:27])[CH:28]([OH:29])[CH:30]4[OH:31],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
[O:1]([CH2:2][CH2:3][N:4]([CH3:5])[CH3:6])[CH:7]([C:8]1=[CH:9][CH:10]=[CH:11][CH:12]=[CH:13]1)[CH:14]2[CH:15]=[CH:16][CH:17]=[CH:18][CH2:19]2,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[C:4]([CH3:5])([CH3:6])[CH2:7][CH2:8][CH2:9][O:10][c:11]1[cH:12][c:13]([cH:14][cH:15][c:16]1[CH3:17])[CH3:18],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([CH:3]=[CH:4][C:5]1=[CH:6][CH:7]=[C:8]([OH:9])[C:10]([O:11][CH3:12])=[CH:13]1)[CH2:14][C:15](=[O:16])[CH:17]=[CH:18][C:19]2=[CH:20][CH:21]=[C:22]([OH:23])[C:24]([O:25][CH3:26])=[CH:27]2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
[N:1]#[C:2][C:3]=1[N:4]=[CH:5][CH:6]=[C:7]([CH:8]1)[C:9]2=[N:10][NH:11][C:12](=[N:13]2)[C:14]3=[CH:15][CH:16]=[N:17][CH:18]=[CH:19]3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[CH2:4][CH:5]1[C:6]2=[C:7]([C:8](=[O:9])[CH2:10]1)[C:11]3=[CH:12][C:13]([F:14])=[CH:15][C:16](=[C:17]3[N:18]2[CH2:19][C:20]4=[CH:21][CH:22]=[C:23]([Cl:24])[CH:25]=[CH:26]4)[S:27](=[O:28])(=[O:29])[CH3:30],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[C:4]([CH3:5])([CH3:6])[CH2:7][CH2:8][CH2:9][O:10][C:11]1=[CH:12][C:13](=[CH:14][CH:15]=[C:16]1[CH3:17])[CH2:18][OH:19],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[S:2](=[O:3])([O:4][CH2:5][CH2:6][C:7]1([OH:8])[O:9][CH2:10][CH:11]2[O:12][C:13]([O:14][CH:15]2[CH:16]1[OH:17])([CH3:18])[CH3:19])[NH2:20],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
[N:1]#[C:2][c:3]1[cH:4][cH:5][c:6]([cH:7][c:8]1[Cl:9])-[c:10]2[n:11][n:12]([cH:13][cH:14]2)[CH2:15][CH:16]([NH:17][C:18](=[O:19])[c:20]3[n:21][nH:22][c:23]([cH:24]3)[CH:25]([OH:26])[CH3:27])[CH3:28],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
[O:1]=[C:2]([OH:3])[CH2:4][C:5]=1[C:6]2=[CH:7][C:8]([F:9])=[CH:10][CH:11]=[C:12]2[CH:13]([C:14]1[CH2:15][OH:16])[CH:17]([OH:18])[C:19]3=[CH:20][CH:21]=[C:22]([CH:23]=[CH:24]3)[S:25](=[O:26])[CH3:27],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[N:1]#[C:2][C:3]1=[CH:4][C:5]([C:6]#[N:7])=[CH:8][C:9]([O:10][C:11]=2[C:12](=[N:13][N:14]([C:15]2[CH2:16][CH3:17])[CH2:18][CH2:19][OH:20])[CH2:21][CH3:22])=[CH:23]1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
[O:1]=[C:2]1[O:3][C:4]2=[CH:5][C:6]([OH:7])=[CH:8][C:9](=[C:10]2[CH:11]=[C:12]1[C:13](=[O:14])[CH3:15])[CH2:16][OH:17],"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([N:3]1[CH2:4][CH2:5][CH:6]([CH3:7])[CH:8]([N:9]([C:10]2=[N:11][CH:12]=[N:13][C:14]=3[NH:15][CH:16]=[CH:17][C:18]23)[CH3:19])[CH2:20]1)[CH2:21][OH:22],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
[O:1]=[C:2]1[O:3][CH:4]([OH:5])[C:6]([C:7]2=[CH:8][CH:9]=[C:10]([CH:11]=[CH:12]2)[S:13](=[O:14])(=[O:15])[CH3:16])=[C:17]1[C:18]3=[CH:19][CH:20]=[CH:21][CH:22]=[CH:23]3,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[OH:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:6]=[C:7]1[O:8][CH3:9])[CH2:10][CH:11]([NH2:12])[CH3:13],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]1[O:3][C:4]([C:5]#[C:6][C:7]2([OH:8])[CH2:9][CH2:10]2)([C:11]3=[CH:12][C:13]([Cl:14])=[C:15]([OH:16])[CH:17]=[C:18]3[NH:19]1)[C:20]([F:21])([F:22])[F:23],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]1[C:3]2=[C:4]([N:5]=[CH:6][N:7]2[CH2:8][CH:9]([OH:10])[CH3:11])[N:12]([C:13](=[O:14])[N:15]1[CH3:16])[CH3:17],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]1[O:3][CH2:4][CH:5]2[CH:6]([O:7][CH:8]3[O:9][CH:10]4[CH2:11][O:12][CH:13]([O:14][CH:15]4[CH:16]([OH:17])[CH:18]3[OH:19])[CH3:20])[c:21]5[cH:22][c:23]6[O:24][CH2:25][O:26][c:27]6[cH:28][c:29]5[CH:30]([c:31]7[cH:32][c:33]([O:34][CH3:35])[c:36]([OH:37])[c:38]([O:39][CH3:40])[cH:41]7)[CH:42]12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[CH:4]([NH:5][C:6](=[O:7])[CH:8]1[CH2:9][CH2:10][CH:11]([CH2:12][CH2:13]1)[CH:14]([CH3:15])[CH3:16])[CH2:17][c:18]2[cH:19][cH:20][cH:21][cH:22][cH:23]2,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[CH2:4][CH2:5][CH:6]([CH3:7])[CH:8]1[CH2:9][CH2:10][CH:11]2[CH:12]3[CH2:13][CH:14]([OH:15])[CH:16]4[CH2:17][CH:18]([OH:19])[CH2:20][CH2:21][C:22]4([CH3:23])[CH:24]3[CH2:25][CH2:26][C:27]12[CH3:28],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[OH:1][CH2:2][CH:3]1[CH:4]=[CH:5][CH:6]([N:7]2[CH:8]=[N:9][C:10]3=[C:11]([N:12]=[C:13]([N:14]=[C:15]23)[NH2:16])[NH:17][CH:18]4[CH2:19][CH2:20]4)[CH2:21]1,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[N:1]#[C:2][C:3]([C:4]1=[CH:5][C:6](=[CH:7][C:8](=[CH:9]1)[C:10]([C:11]#[N:12])([CH3:13])[CH3:14])[CH2:15][N:16]2[N:17]=[CH:18][N:19]=[CH:20]2)([CH3:21])[CH3:22],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0]"
[Cl:1][C:2]1=[CH:3][CH:4]=[C:5]([CH:6]=[C:7]1[CH2:8][C:9]2=[CH:10][CH:11]=[C:12]([O:13][CH2:14][CH3:15])[CH:16]=[CH:17]2)[CH:18]3[O:19][CH:20]([CH2:21][OH:22])[CH:23]([OH:24])[CH:25]([OH:26])[CH:27]3[OH:28],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
[OH:1][C:2]=1[C:3]([OH:4])=[C:5]2[C:6]([O:7][CH:8]=[C:9]2[CH3:10])=[C:11]3[CH:12]=[CH:13][C:14]4=[C:15]([CH:16]=[CH:17][CH:18]=[C:19]4[CH3:20])[C:21]13,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[Cl:1][C:2]=1[N:3]=[C:4]([N:5]([C:6]1[CH2:7][OH:8])[CH2:9][C:10]2=[CH:11][CH:12]=[C:13]([CH:14]=[CH:15]2)[C:16]3=[CH:17][CH:18]=[CH:19][CH:20]=[C:21]3[C:22]4=[N:23][N:24]=[N:25][NH:26]4)[CH2:27][CH2:28][CH2:29][CH3:30],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0]"
[F:1][C:2]([F:3])([F:4])[C:5]=1[CH:6]=[CH:7][CH:8]=[C:9]([CH:10]1)[CH2:11][CH2:12][CH2:13][NH:14][CH:15]([C:16]2=[CH:17][CH:18]=[CH:19][C:20]3=[CH:21][C:22]([OH:23])=[CH:24][CH:25]=[C:26]23)[CH3:27],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
[Cl:1][C:2]1=[CH:3][CH:4]=[C:5]2[C:6](=[CH:7]1)[CH2:8][CH2:9][C:10]3=[CH:11][CH:12]=[CH:13][N:14]=[C:15]3[C:16]2=[C:17]4[CH2:18][CH2:19][NH:20][CH2:21][CH2:22]4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]1[N:3]([N:4]=[C:5]([CH3:6])[CH:7]1[NH2:8])[C:9]2=[CH:10][CH:11]=[C:12]([C:13](=[CH:14]2)[CH3:15])[CH3:16],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[cH:1]1[cH:2][cH:3][c:4]2[c:5]([cH:6]1)[CH:7]=[CH:8][c:9]3[cH:10][cH:11][cH:12][cH:13][c:14]3[C:15]2=[CH:16][CH2:17][CH2:18][N:19]([CH3:20])[CH3:21],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
[CH:1]1=[CH:2][CH:3]=[C:4]2[C:5](=[CH:6]1)[N:7]3[CH2:8][CH2:9][NH:10][CH2:11][CH:12]3[C:13]4=[CH:14][CH:15]=[CH:16][CH:17]=[C:18]4[CH2:19]2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[OH:1][c:2]1[cH:3][c:4]([cH:5][c:6]2[O:7][C:8]([CH3:9])([CH3:10])[CH:11]3[CH2:12][CH2:13][C:14](=[CH:15][CH:16]3[c:17]12)[CH2:18][OH:19])[CH2:20][CH2:21][CH2:22][CH2:23][CH3:24],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
[O:1]=[C:2]1[O:3][CH2:4][CH:5]2[CH:6]([O:7][CH:8]3[O:9][CH:10]4[CH2:11][O:12][CH:13]([O:14][CH:15]4[CH:16]([OH:17])[CH:18]3[OH:19])[CH3:20])[C:21]5=[CH:22][C:23]=6[O:24][CH2:25][O:26][C:27]6[CH:28]=[C:29]5[CH:30]([C:31]7=[CH:32][C:33]([O:34][CH3:35])=[C:36]([OH:37])[C:38]([O:39][CH3:40])=[CH:41]7)[CH:42]12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[C:4]=1[CH:5]=[CH:6][CH:7]=[C:8]([CH:9]1)[C:10]=2[CH:11]=[CH:12][CH:13]=[C:14]([NH:15][N:16]=[C:17]3[C:18](=[O:19])[N:20]([N:21]=[C:22]3[CH3:23])[C:24]4=[CH:25][CH:26]=[C:27]([C:28](=[CH:29]4)[CH3:30])[CH3:31])[C:32]2[OH:33],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[OH:1][C:2]1=[CH:3][C:4]2=[C:5]([CH:6]=[C:7]1[O:8][CH3:9])[C:10]3=[CH:11][C:12]4=[CH:13][CH:14]=[C:15]([O:16][CH3:17])[C:18]([O:19][CH3:20])=[C:21]4[CH:22]=[N+:23]3[CH2:24][CH2:25]2,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([NH:3][c:4]1[cH:5][cH:6][c:7]([cH:8][cH:9]1)[CH2:10][CH2:11][NH:12][CH2:13][CH:14]([OH:15])[c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)[CH2:22][c:23]3[n:24][c:25]([s:26][cH:27]3)[NH2:28],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
[O:1]=[C:2]([C:3]1=[CH:4][CH:5]=[C:6]([Cl:7])[CH:8]=[CH:9]1)[CH:10]([N:11]2[CH2:12][CH2:13][CH2:14][CH:15]2[OH:16])[CH2:17][CH2:18][CH3:19],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
[O:1]=[C:2]1[C:3]2=[CH:4][CH:5]=[CH:6][CH:7]=[C:8]2[CH:9]([C:10]3=[CH:11][CH:12]=[C:13]([Cl:14])[C:15]([Cl:16])=[CH:17]3)[CH2:18][CH:19]1[OH:20],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
[O:1]=[C:2]1[S:3][CH:4]([C:5](=[O:6])[NH:7]1)[CH2:8][C:9]2=[CH:10][CH:11]=[C:12]([O:13][CH2:14][CH2:15][N:16]([C:17]3=[N:18][CH:19]=[CH:20][CH:21]=[C:22]3[OH:23])[CH3:24])[CH:25]=[CH:26]2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
[OH:1][C:2]=1[C:3]([O:4][CH3:5])=[CH:6][CH:7]=[C:8]2[CH:9]=[C:10]3[C:11]4=[CH:12][C:13]=5[O:14][CH2:15][O:16][C:17]5[CH:18]=[C:19]4[CH2:20][CH2:21][N+:22]3=[CH:23][C:24]12,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[CH:1]=1[CH:2]=[C:3]([CH:4]=[CH:5][C:6]1[CH3:7])[C:8]23[CH2:9][NH:10][CH2:11][CH:12]2[CH2:13]3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
[O:1]=[C:2]1[CH:3]=[C:4]([O:5][C:6]2=[CH:7][C:8]([OH:9])=[C:10]([O:11][CH3:12])[C:13]([OH:14])=[C:15]12)[C:16]3=[CH:17][CH:18]=[CH:19][CH:20]=[CH:21]3,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[S:2](=[O:3])([O:4][CH2:5][CH2:6][C:7]12[O:8][CH2:9][CH:10]3[O:11][C:12]([O:13][CH:14]3[CH:15]1[O:16][C:17]([O:18]2)([CH3:19])[CH3:20])([CH3:21])[CH3:22])[NH2:23],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
[O:1]=[C:2]([OH:3])[C:4]1=[CH:5][CH:6]=[C:7]([CH:8]=[CH:9]1)[C:10]23[CH2:11][NH:12][CH2:13][CH:14]2[CH2:15]3,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([NH2:3])[C:4]1=[CH:5][C:6](=[CH:7][CH:8]=[C:9]1[OH:10])[CH:11]([OH:12])[CH2:13][NH:14][CH:15]([CH3:16])[CH2:17][CH2:18][C:19]2=[CH:20][CH:21]=[CH:22][CH:23]=[CH:24]2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[N:1]=1[CH:2]=[CH:3][N:4]=[C:5]2[CH:6]=[C:7]3[C:8](=[CH:9][C:10]12)[CH:11]4[CH2:12][NH:13][CH2:14][CH:15]3[CH2:16]4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[CH2:4][C:5]1=[CH:6][C:7](=[CH:8][CH:9]=[C:10]1[NH:11][C:12]2=[C:13]([F:14])[CH:15]=[CH:16][CH:17]=[C:18]2[Cl:19])[CH3:20],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[N:34]=1[CH:1]=[CH:2][CH:3]=[C:4]2[CH:5]=[CH:6][C:7]3=[CH:8][CH:9]=[CH:10][CH:11]=[C:12]3[C:13]([C:14]12)=[C:15]4[CH2:16][CH2:17][N:18]([CH3:19])[CH2:20][CH2:21]4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
[OH:1][C:2]1=[CH:3][CH:4]=[CH:5][CH:6]=[C:7]1[O:8][CH2:9][CH:10]2[O:11][CH2:12][CH2:13][NH:14][CH2:15]2,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[CH2:4][C:5]=1[C:6]2=[CH:7][CH:8]=[CH:9][N:10]=[C:11]2[N:12]([C:13]1[CH3:14])[CH2:15][C:16]3=[CH:17][CH:18]=[C:19]([CH:20]=[C:21]3[C:22]([F:23])([F:24])[F:25])[S:26](=[O:27])(=[O:28])[CH3:29],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
[O:1]=[C:2]([OH:3])[CH2:4][C:5]1=[CH:6][C:7]2=[C:8]([CH:9]=[C:10]1[Cl:11])[NH:12][C:13](=[O:14])[CH2:15]2,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
